series|location|keywords|numpages|pages|booktitle|abstract|doi|url|address|publisher|isbn|year|title|author|type_publication|ID|articleno|month|journal|issn|number|volume|issue_date|note|edition|editor|Sourceid|SJR|SJR_Best_Quartile|H_index|Total_Docs_2020|Total_Docs_3years|Total_Refs|Total_Cites_3years|Citable_Docs_3years|Cites_Doc_2years|Ref_Doc|Country|Region|Coverage|Categories|Total_Cites|Journal_Impact_Factor|Eigenfactor_Score|id_title|id_issn
||Data Cleaning and Information Extraction;Data Integration and Exchange|||Trends in Cleaning Relational Data: Consistency and Deduplication|"\"Data quality is one of the most important problems in data management, since dirty data often leads to inaccurate data analytics results and wrong business decisions. According to a report by InsightSquared in 2012, poor data across businesses and the government cost the United States economy 3.1 trillion dollars a year. To detect data errors, data quality rules or integrity constraints (ICs) have been proposed as a declarative way to describe legal or correct data instances. Any subset of data that does not conform to the defined rules is considered erroneous, which is also referred to as a violation. Various kinds of data repairing techniques with different objectives have been introduced where algorithms are used to detect subsets of the data that violate the declared integrity constraints, and even to suggest updates to the database such that the new database instance conforms with these constraints. While some of these algorithms aim to minimally change the database, others involve human experts or knowledge bases to verify the repairs suggested by the automatic repeating algorithms. Trends in Cleaning Relational Data: Consistency and Deduplication discusses the main facets and directions in designing error detection and repairing techniques. It proposes a taxonomy of current anomaly detection techniques, including error types, the automation of the detection process, and error propagation. It also sets out a taxonomy of current data repairing techniques, including the repair target, the automation of the repair process, and the update model. It concludes by highlighting current trends in \"\"big data\"\" cleaning.\""|10.1561/1900000045|https://ieeexplore.ieee.org/document/8187386||now|9781680830231|2015||Ilyas, Ihab F. and Chu, Xu|book|8187386|||||||||||||||||||||||||||||42|42
||Environmental informatics, Environmental observation web, Future internet, Cloud computing, Internet of things, Big data, Environmental specific enablers, Volunteered geographic information, Crowdtasking||1-15||This paper investigates the usability of Future Internet technologies (aka “Generic Enablers of the Future Internet”) in the context of environmental applications. The paper incorporates the best aspects of the state-of-the-art in environmental informatics with geospatial solutions and scalable processing capabilities of Internet-based tools. It specifically targets the promotion of the “Environmental Observation Web” as an observation-centric paradigm for building the next generation of environmental applications. In the Environmental Observation Web, the great majority of data are considered as observations. These can be generated from sensors (hardware), numerical simulations (models), as well as by humans (human sensors). Independently from the observation provenance and application scope, data can be represented and processed in a standardised way in order to understand environmental processes and their interdependencies. The development of cross-domain applications is then leveraged by technologies such as Cloud Computing, Internet of Things, Big Data Processing and Analytics. For example, “the cloud” can satisfy the peak-performance needs of applications which may occasionally use large amounts of processing power at a fraction of the price of a dedicated server farm. The paper also addresses the need for Specific Enablers that connect mainstream Future Internet capabilities with sensor and geospatial technologies. Main categories of such Specific Enablers are described with an overall architectural approach for developing environmental applications and exemplar use cases.|https://doi.org/10.1016/j.envsoft.2015.12.015|https://www.sciencedirect.com/science/article/pii/S1364815215301298||||2016|Future Internet technologies for environmental applications|Carlos Granell and Denis Havlik and Sven Schade and Zoheir Sabeur and Conor Delaney and Jasmin Pielorz and Thomas Usländer and Paolo Mazzetti and Katharina Schleidt and Mike Kobernus and Fuada Havlik and Nils Rune Bodsberg and Arne Berre and Jose Lorenzo Mon|article|GRANELL20161|||Environmental Modelling & Software|13648152||78|||||23295|1,828|Q1|136|223|717|14218|4373|711|5,47|63,76|Netherlands|Western Europe|1997-2020|Ecological Modeling (Q1); Environmental Engineering (Q1); Software (Q1)||||838387|665084965
IDEAS '21|Montreal, QC, Canada|Conceptual modeling, Category theory, Multi-model data, Inter-model relationships, Logical models|10|242–251|Proceedings of the 25th International Database Engineering &amp; Applications Symposium|Following the current trend, most of the well-known database systems, being relational, NoSQL, or NewSQL, denote themselves as multi-model. This industry-driven approach, however, lacks plenty of important features of the traditional DBMSs. The primary problem is a design of an optimal multi-model schema and its sufficiently general and efficient representation. In this paper, we provide an overview and discussion of the promising approaches that could potentially be capable of solving these issues, along with a summary of the remaining open problems.|10.1145/3472163.3472267|https://doi.org/10.1145/3472163.3472267|New York, NY, USA|Association for Computing Machinery|9781450389914|2021|Multi-Model Data Modeling and Representation: State of the Art and Research Challenges|Holubova, Irena and Contos, Pavel and Svoboda, Martin|inproceedings|10.1145/3472163.3472267|||||||||||||||||||||||||||||1219242|42
||data valuation, data markets, Datasets|7||||10.1145/3447269|https://doi.org/10.1145/3447269|New York, NY, USA|Association for Computing Machinery||2021|Toward a Complete Data Valuation Process. Challenges of Personal Data|Tufi\c{s}, Mihnea and Boratto, Ludovico|article|10.1145/3447269|20|aug|J. Data and Information Quality|19361955|4|13|December 2021||||||||||||||||||||||1350987|833754770
dg.o '16|Shanghai, China|Linked Data, Linked Enterprise Data, Open Data, XBRL|6|475–480|Proceedings of the 17th International Digital Government Research Conference on Digital Government Research|Linked Data can provide the data according to user's demand, promote the availability of half structured and unstructured data on the network, improve the interoperability of open data. With the development of Linked Data, Linked Enterprise Data becomes a research hotspot. This article draw lessons from foreign investment Linked Data research of listed companies, selected the listed company information and XBRL reports from Shanghai stock exchange and Shenzhen stock exchange, industry information from the China securities regulatory commission and daily stock price from Flush as data source, built investment open data of Chinese listed companies based on Linked Data. This work could promote the internationalization of the Chinese data and the commercial use of open government data, lay the foundation for the global data ecological system, at the same time prepare for the challenge of Shanghai-Hong Kong Stock Connect and Shenzhen-Hong Kong Stock Connect even the challenge of international investment.|10.1145/2912160.2912206|https://doi.org/10.1145/2912160.2912206|New York, NY, USA|Association for Computing Machinery|9781450343398|2016|Constructing Investment Open Data of Chinese Listed Companies Based on Linked Data|Li, Hongqin and Zhai, Jun|inproceedings|10.1145/2912160.2912206|||||||||||||||||||||||||||||9783337|42
||Quality control;Servers;Cloud computing;Big Data;Visualization;Inspection;Databases;Big data platform, Surface Enhanced Raman Spectroscopy, sensor quality control||463-466|2019 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR)|Surface-enhanced Raman spectroscopy (SERS) significantly enhances the Raman scattering by molecules, enabling detection and identification of small quantities of relevant bio-/chemical markers in a wide range of applications. In this paper, we present a big data platform with both a local client and cloud server built for acquiring, processing, visualizing and storing SERS sensor data. The local client controls the hardware (i.e., spectrometer and stage) to collect SERS spectra from HP designed sensors, and offers the options to analyze, visualize and save the spectra with meta-data records, including relevant experimental conditions. The cloud server contains remote databases and web interface for centralized data management to users from different locations. Here we describe how this platform was built and demonstrate its use for automated sensor quality control based on sensor images. Sensor quality control is a common practice, employed in sensor production to select high performing sensors. Image-based approach is a natural way to perform sensor quality control without destructing the sensors. Automating this process using the proposed platform can also reduce the time spent and achieve consistent result by avoiding human visual inspection.|10.1109/MIPR.2019.00093|||||2019|A Big Data Platform for Surface Enhanced Raman Spectroscopy Data with an Application on Image-Based Sensor Quality Control|Zuo, Yiming and Vernica, Rares and Lei, Yang and Barcelo, Steven and Rogacs, Anita|inproceedings|8695373||March|||||||||||||||||||||||||||10486624|42
||Tools;Data models;Containers;Software;Real-time systems;Big Data applications;Big Data Applications;Quality Requirements;Big Data Goal-oriented Requirements Language;Requirements Modelling Tool||5977-5979|2019 IEEE International Conference on Big Data (Big Data)|The development of Big Data applications is not well-explored, to our knowledge. Embracing Big Data in system building, questions arise as to how to elicit, specify, analyse, model, and document Big Data quality requirements. In our ongoing research, we explore a requirements modelling language for Big Data software applications. In this paper, we introduce QualiBD, a modelling tool that implements the proposed goal-oriented requirements language that facilitates the modelling of Big Data quality requirements.|10.1109/BigData47090.2019.9006294|||||2019|QualiBD: A Tool for Modelling Quality Requirements for Big Data Applications|Arruda, Darlan and Madhavji, Nazim H.|inproceedings|9006294||Dec|||||||||||||||||||||||||||10776463|42
||Smart farming, Data analysis, Big data, Machine learning, Digital farming, Predictive farming, Farming industry||103624||The Internet of Things (IoT) and the relevant technologies have had a significant impact on smart farming as a major sub-domain within the field of agriculture. Modern technology supports data collection from IoT devices through several farming processes. The extensive amount of collected smart farming data can be utilized for daily decision making and analysis such as yield prediction, growth analysis, quality maintenance, animal and aquaculture, as well as farm management. This survey focuses on three major aspects of contemporary smart farming. First, it highlights various types of big data generated through smart farming and makes a broad categorization of such data. Second, this paper discusses a comprehensive set of typical applications of big data in smart farming. Third, it identifies and introduces the principal big data and machine learning techniques that are utilized in smart farming data analysis. In doing so, this survey also identifies some of the major, current challenges in smart farming big data analysis.This paper provides a discussion on potential pathways toward more effective smart farming through relevant analytics-guided decision making.|https://doi.org/10.1016/j.compind.2022.103624|https://www.sciencedirect.com/science/article/pii/S0166361522000197||||2022|A survey on smart farming data, applications and techniques|Sandya De Alwis and Ziwei Hou and Yishuo Zhang and Myung Hwan Na and Bahadorreza Ofoghi and Atul Sajjanhar|article|ALWIS2022103624|||Computers in Industry|01663615||138|||||19080|1,432|Q1|100|115|323|6926|3165|319|9,96|60,23|Netherlands|Western Europe|1979-2020|Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)|6,018|7.635|0.00584|11268317|605146181
CIKM '21|Virtual Event, Queensland, Australia|user behavior modeling, contrastive curriculum learning|10|3737–3746|Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management|Within online platforms, it is critical to capture the semantics of sequential user behaviors for accurately modeling user interests. However, dynamic characteristics and sparse behaviors make it difficult to train effective user representations for sequential user behavior modeling.Inspired by the recent progress in contrastive learning, we propose a novel Contrastive Curriculum Learning framework for producing effective representations for modeling sequential user behaviors. We make important technical contributions in two aspects, namely data quality and sample ordering. Firstly, we design a model-based data generator by generating high-quality samples confirming to users' attribute information. Given a target user, it can leverage the fused attribute semantics for generating more close-to-real sequences. Secondly, we propose a curriculum learning strategy to conduct contrastive learning via an easy-to-difficult learning process. The core component is a learnable difficulty evaluator, which can score augmented sequences, and schedule them in curriculums. Extensive results on both public and industry datasets demonstrate the effectiveness of our approach on downstream tasks.|10.1145/3459637.3481905|https://doi.org/10.1145/3459637.3481905|New York, NY, USA|Association for Computing Machinery|9781450384469|2021|Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation|Bian, Shuqing and Zhao, Wayne Xin and Zhou, Kun and Cai, Jing and He, Yancheng and Yin, Cunxiang and Wen, Ji-Rong|inproceedings|10.1145/3459637.3481905|||||||||||||||||||||||||||||19231447|42
||Data Governance;Data Credibility;Data Traceability||290-294|2020 IEEE Fifth International Conference on Data Science in Cyberspace (DSC)|In the actual project of data sharing and data governance, the problems of data heterogeneity and low data quality have not been solved. Data quality detection based on syntax rules can effectively find data quality problems, but it had not improved the data quality, especially in a variety of heterogeneous data source environments. This paper designs a data governance model based on data traceability, and we can get data feedback and revision through this model. The proposed method considers the different ownership of data and may form a closed-loop data service chain including effective data validation, data tracking, and data revision, data release. The analysis of the case shows that the method is effective to improve the data quality and meet the requirements of data security also.|10.1109/DSC50466.2020.00051|||||2020|A data traceability method to improve data quality in a big data environment|Zhang, Guobao|inproceedings|9172875||July|||||||||||||||||||||||||||20344682|42
